label,x,y,z
4 51,299156.25080664805,6696132.156697822,70.69959
4 52,299156.0176364203,6696133.1399155725,70.58109
4 53,299155.7844661926,6696134.123133322,70.498795
4 54,299155.5512959649,6696135.106351073,70.22035
4 55,299155.3181257372,6696136.089568823,69.882454
4 56,299155.08495550946,6696137.072786573,69.67679
4 57,299154.85178528173,6696138.056004323,69.69649
4 58,299154.618615054,6696139.039222074,69.65372
4 59,299154.38544482633,6696140.022439824,69.6241
4 60,299154.1522745986,6696141.005657574,69.60626
4 61,299153.91910437087,6696141.988875325,69.65311
4 62,299153.68593414314,6696142.972093075,69.59813
4 63,299153.4527639154,6696143.955310825,69.59738
4 64,299153.21959368774,6696144.938528575,69.61023
4 65,299152.98642346,6696145.921746326,69.61291
4 66,299152.7532532323,6696146.904964076,69.62766
4 67,299152.52008300455,6696147.888181826,69.62413
4 68,299152.2869127768,6696148.871399577,69.643936
4 69,299152.05374254915,6696149.8546173265,69.65364
4 70,299151.8205723214,6696150.837835077,69.635925
4 71,299151.5874020937,6696151.821052828,69.64113
4 72,299151.35423186596,6696152.804270578,69.658325
4 73,299151.12106163823,6696153.787488328,69.658455
4 74,299150.88789141056,6696154.770706078,69.627174
4 75,299150.65472118283,6696155.753923829,69.62788
4 76,299150.4215509551,6696156.737141578,69.63924
4 77,299150.18838072737,6696157.720359329,69.64264
4 78,299149.95521049964,6696158.70357708,69.66585
4 79,299149.72204027197,6696159.68679483,69.65031
4 80,299149.48887004424,6696160.67001258,69.64944
4 81,299149.2556998165,6696161.65323033,69.65816
4 82,299149.0225295888,6696162.636448081,69.66972
4 83,299148.78935936105,6696163.61966583,69.73416
4 84,299148.5561891334,6696164.602883581,69.70882
4 85,299148.32301890565,6696165.586101332,69.682724
4 86,299148.0898486779,6696166.5693190815,69.671524
4 87,299147.8566784502,6696167.552536832,69.67487
4 88,299147.62350822246,6696168.535754582,69.645424
4 89,299147.3903379948,6696169.518972333,69.64198
4 90,299147.15716776706,6696170.502190083,69.621506
4 91,299146.9239975393,6696171.485407833,69.858086
4 92,299146.6908273116,6696172.468625584,69.92788
4 93,299146.45765708387,6696173.451843333,70.05955
4 94,299146.2244868562,6696174.435061084,70.1228
4 95,299145.99131662847,6696175.418278834,70.47737
4 96,299145.75814640074,6696176.4014965845,70.54425
5 1,299239.3046451297,6695870.024282325,72.32119
5 2,299239.2446659638,6695870.876922736,72.32119
5 3,299239.1846867979,6695871.729563147,72.048874
5 4,299239.12470763206,6695872.582203558,71.8325
5 5,299239.06472846615,6695873.4348439695,71.67438
5 6,299239.00474930025,6695874.28748438,71.52193
5 7,299238.94477013435,6695875.140124791,71.39401
5 8,299238.88479096844,6695875.992765202,71.39401
5 9,299238.82481180254,6695876.845405613,71.36658
5 10,299238.7648326367,6695877.698046024,71.33704
5 11,299238.7048534708,6695878.550686435,71.31552
5 12,299238.6448743049,6695879.403326846,71.299995
5 13,299238.584895139,6695880.255967258,71.2354
5 14,299238.5249159731,6695881.108607668,71.13277
5 15,299238.46493680717,6695881.961248079,71.13277
5 16,299238.4049576413,6695882.81388849,71.0449
5 17,299238.3449784754,6695883.666528901,70.95542
5 18,299238.2849993095,6695884.519169312,70.87273
5 19,299238.2250201436,6695885.371809723,70.78052
5 20,299238.1650409777,6695886.224450134,70.718414
5 21,299238.1050618118,6695887.077090546,70.60531
5 22,299238.04508264596,6695887.929730956,70.60531
5 23,299237.98510348005,6695888.782371367,70.63697
5 24,299237.92512431415,6695889.635011778,70.57292
5 25,299237.86514514824,6695890.487652189,70.54348
5 26,299237.80516598234,6695891.3402926,70.5207
5 27,299237.74518681644,6695892.192933011,70.49558
5 28,299237.6852076506,6695893.045573422,70.507675
5 29,299237.6252284847,6695893.898213834,70.507675
5 30,299237.5652493188,6695894.750854244,70.486946
5 31,299237.5052701529,6695895.603494655,70.445015
5 32,299237.445290987,6695896.456135066,70.44319
