label,x,y,z,buried
6 71,613129.0284210526,6651431.287368421,128.85052,0
6 72,613129.9236842105,6651431.737473684,128.90425,0
6 73,613130.8189473684,6651432.187578947,128.8947,0
6 74,613131.7142105263,6651432.63768421,128.94403,0
6 75,613132.6094736842,6651433.087789474,129.01942,0
6 76,613133.5047368421,6651433.537894737,129.10541,0
6 77,613134.4,6651433.988,129.19081,0
6 78,613135.2952631579,6651434.438105263,129.27306,0
6 79,613136.1905263158,6651434.888210527,129.3397,0
6 80,613137.0857894737,6651435.33831579,129.38733,0
6 81,613137.9810526316,6651435.7884210525,129.4458,0
6 82,613138.8763157895,6651436.238526315,129.48557,0
6 83,613139.7715789474,6651436.688631579,129.53345,0
6 84,613140.6668421053,6651437.138736842,129.58713,0
6 85,613141.5621052632,6651437.588842105,129.63019,0
6 86,613142.4573684211,6651438.038947368,129.6921,0
6 87,613143.3526315789,6651438.489052632,129.7449,0
6 88,613144.2478947368,6651438.939157895,129.7449,0
6 89,613145.1431578947,6651439.389263158,129.80475,0
6 90,613146.0384210526,6651439.839368421,129.83192,0
6 91,613146.9336842105,6651440.2894736845,129.84804,0
6 92,613147.8289473684,6651440.739578947,129.89561,0
6 93,613148.7242105263,6651441.18968421,129.90384,0
6 94,613149.6194736842,6651441.639789473,129.9216,0
6 95,613150.5147368421,6651442.089894737,129.9829,0
6 96,613151.41,6651442.54,130.0386,0
7 1,613003.8,6651367.0,125.68552,0
7 2,613004.6905263158,6651367.461052632,125.684975,0
7 3,613005.5810526316,6651367.922105263,125.74312,0
7 4,613006.4715789474,6651368.383157895,125.79764,0
7 5,613007.3621052632,6651368.844210526,125.843414,0
7 6,613008.252631579,6651369.305263158,125.92351,0
7 7,613009.1431578948,6651369.76631579,126.00972,0
7 8,613010.0336842106,6651370.227368421,126.09676,0
7 9,613010.9242105264,6651370.688421053,126.09676,0
7 10,613011.8147368422,6651371.149473684,126.182236,0
7 11,613012.705263158,6651371.610526316,126.25453,0
7 12,613013.5957894737,6651372.071578947,126.30676,0
7 13,613014.4863157895,6651372.532631579,126.35237,0
7 14,613015.3768421053,6651372.993684211,126.41319,0
7 15,613016.2673684211,6651373.454736842,126.437546,0
7 16,613017.1578947369,6651373.915789474,126.46834,0
7 17,613018.0484210526,6651374.376842105,126.50776,0
7 18,613018.9389473684,6651374.837894737,126.53707,0
7 19,613019.8294736843,6651375.298947369,126.57103,0
7 20,613020.7200000001,6651375.76,126.57819,0
7 21,613021.6105263159,6651376.221052632,126.612854,0
7 22,613022.5010526316,6651376.682105263,126.65169,0
7 23,613023.3915789474,6651377.143157895,126.61189,0
7 24,613024.2821052632,6651377.604210527,126.64412,0
7 25,613025.172631579,6651378.065263158,126.66746,0
7 26,613026.0631578948,6651378.52631579,126.62692,0
7 27,613026.9536842105,6651378.987368421,126.651276,0
7 28,613027.8442105263,6651379.448421053,126.65624,0
7 29,613028.7347368421,6651379.909473685,126.68369,0
7 30,613029.6252631579,6651380.370526316,126.72224,0
7 31,613030.5157894738,6651380.831578948,126.740395,0
7 32,613031.4063157896,6651381.292631579,126.75948,0
7 33,613032.2968421053,6651381.753684211,126.767944,0
7 34,613033.1873684211,6651382.214736842,126.778404,0
7 35,613034.0778947369,6651382.675789474,126.791664,0
7 36,613034.9684210527,6651383.136842106,126.82826,0
7 37,613035.8589473685,6651383.597894737,126.82826,0
7 38,613036.7494736842,6651384.0589473685,126.86396,0
7 39,613037.64,6651384.52,126.89625,0
7 40,613038.5305263158,6651384.9810526315,126.91844,0
7 41,613039.4210526316,6651385.4421052635,126.98068,0
7 42,613040.3115789474,6651385.9031578945,126.98291,0
7 43,613041.2021052632,6651386.364210526,127.02075,0
7 44,613042.092631579,6651386.8252631575,127.05121,0
7 45,613042.9831578948,6651387.286315789,127.07251,0
